Model,Noise_Level,ROC_AUC,PR_AUC,Accuracy,Precision,Recall_TPR,F1,FPR,FNR
ADMoE-MLP,0.01,0.6828555794490484,0.30304367243428104,0.9156105166157259,0.2786038004252959,0.2786038004252959,0.2786038004252959,0.04949500041396286,0.721396199574704
ADMoE-MLP,0.05,0.7833573455869682,0.3602702369682517,0.9294606127990003,0.3623821696076601,0.3623821696076601,0.3623821696076601,0.04047988648503187,0.63761783039234
ADMoE-MLP,0.1,0.8453922561335371,0.4703256628317178,0.9428854224734106,0.48389586167279575,0.48389586167279575,0.48389586167279575,0.03300396423337493,0.5161041383272043
ADMoE-MLP,0.2,0.9092430054203705,0.6352402643161782,0.9577386284313513,0.6241299362022815,0.6241299362022815,0.6241299362022815,0.0243471048403322,0.3758700637977185
ADMoE-MLP,0.3,0.9564980710496281,0.7929878659311481,0.9711323892794858,0.7606453816174683,0.7606453816174683,0.7606453816174683,0.016860178083438572,0.23935461838253172
ADMoE-MLP,0.4,0.9764921932916714,0.8812398926970165,0.9790857553852944,0.8418932677783272,0.8418932677783272,0.8418932677783272,0.012505223061479527,0.15810673222167287
ADMoE-MLP,0.5,0.9799909998598659,0.9059439962137352,0.9821251788595722,0.8621813847949378,0.8621813847949378,0.8621813847949378,0.010652167705884686,0.13781861520506214
LightGBM,0.01,0.6580776219328089,0.26455861676588266,0.7827365291399084,0.26750089270602995,0.403805992321689,0.2734516173982154,0.1928781908076351,0.5961940076783109
LightGBM,0.05,0.7351027070363586,0.3348621925101623,0.828983297384984,0.3329290693908922,0.43642814514773237,0.33745836100057447,0.14784392808279181,0.5635718548522676
LightGBM,0.1,0.7687350856292016,0.3949256625030612,0.9336431634078597,0.4049835569218833,0.4058918187773501,0.4053500026272589,0.038742658658259474,0.5941081812226499
LightGBM,0.2,0.7994203329244556,0.4335850412807297,0.940137855309826,0.44372905836292625,0.44372905836292625,0.44372905836292625,0.03422130105526642,0.5562709416370738
LightGBM,0.3,0.8363874118213095,0.48079109179045737,0.9454663470286032,0.4850015705743572,0.4850015705743572,0.4850015705743572,0.031136823452687142,0.5149984294256427
LightGBM,0.4,0.871344328099779,0.5038250248376254,0.9464581257763983,0.5018227081059619,0.5018227081059619,0.5018227081059619,0.03068679690975436,0.4981772918940381
LightGBM,0.5,0.8878701363107938,0.523747037858664,0.9482981598327304,0.5130979143985798,0.5130979143985798,0.5130979143985798,0.029472958556847458,0.4869020856014202
PReNet,0.01,0.6665024133127917,0.271640048333399,0.9087469029080381,0.27414454466415034,0.27414454466415034,0.27414454466415034,0.054936547734827514,0.7258554553358495
PReNet,0.05,0.7712839493069861,0.36615498472908464,0.9299839912833133,0.3847970963497612,0.3847970963497612,0.3847970963497612,0.04075598692347034,0.6152029036502389
PReNet,0.1,0.8166869550286011,0.43817284191101064,0.9365451396438766,0.44405300995148567,0.44405300995148567,0.44405300995148567,0.03728171543862164,0.5559469900485142
PReNet,0.2,0.8477530679025087,0.4866545918105337,0.9420875636232161,0.48535235172312186,0.48535235172312186,0.48535235172312186,0.03381220705948559,0.5146476482768781
PReNet,0.3,0.8541185351964261,0.5261236490987202,0.9461192790270285,0.5138563083919095,0.5138563083919095,0.5138563083919095,0.03142887766385365,0.48614369160809046
PReNet,0.4,0.8733686814187244,0.544406829454077,0.9476094164307364,0.5328576509064472,0.5328576509064472,0.5328576509064472,0.030798198507461485,0.4671423490935528
PReNet,0.5,0.8747254962977028,0.5577848101699189,0.9495832030450634,0.5492979975701133,0.5492979975701133,0.5492979975701133,0.029579418457258786,0.4507020024298866
